Campus ID,Student ID,Teacher Last Name,Teacher First Name,Course Name,Unit,Type,Assignment,Assignment Opened *,Turned In *,Time Spent,Score,Unit Score,Total Score
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),1,TEST,1. Pre-Test,8/7/2019 10:24,8/7/2019 10:30,0:06,100,100,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),1,LESSON,2. Geometry AzMerit Lesson Pool,8/7/2019 10:47,8/7/2019 10:47,0:00,100,100,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),2,LESSON,5. Tangents,11/4/2019 10:11,11/12/2019 7:20,2:44,100,78.7,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),2,QUIZ,"10. Quiz 2: Tangents, Arcs, and Chords",11/18/2019 8:46,11/18/2019 8:51,0:05,100,78.7,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),2,LESSON,12. Special Angles Type 1,11/5/2019 8:48,11/13/2019 10:24,6:07,100,78.7,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),2,LESSON,13. Special Angles Type 2,11/18/2019 8:58,2/19/2020 9:52,9:20,81.4,78.7,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),2,LESSON,14. Special Angles Type 3,12/2/2019 7:38,2/11/2020 8:55,1:15,92.3,78.7,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),2,QUIZ,16. Quiz 3: Special Angles and Segments,2/11/2020 8:56,2/11/2020 9:37,0:41,78.9,78.7,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),2,PROJECT,18. Performance Task,12/2/2019 8:11,2/18/2020 20:18,3:56,73.3,78.7,89.35
PRA | PRA APP,26999371,Espadas,Mr.,MA G01B Geometry 1B SY19-20 (2016) (CRx),2,TEST,21. Test,2/19/2020 9:55,3/26/2020 12:22,1:06,70.8,78.7,89.35
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),1,TEST,1. Pre-Test,8/27/2019 13:35,8/27/2019 13:35,0:00,100,100,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,2. Adding and Subtracting Polynomials,11/12/2019 14:00,2/18/2020 13:07,8:43,77.6,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,3. Grouping Symbols,11/12/2019 14:00,11/12/2019 14:16,0:14,76.9,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,6. Multiplying by a Monomial,12/11/2019 12:30,5/11/2020 20:05,3:16,79.2,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,9. Dividing by a Monomial,12/17/2019 15:57,2/28/2020 8:57,3:14,70,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,10. Long Division,4/9/2020 19:45,5/11/2020 19:57,0:31,83.3,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,13. Greatest Common Factor,12/10/2019 23:54,12/11/2019 0:03,0:08,87.2,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,14. Factoring Out the GCF,2/27/2020 13:19,5/11/2020 20:18,0:37,73.3,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,16. Factoring Trinomials (1),11/20/2019 23:21,11/20/2019 23:35,0:14,70.4,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,18. Special Cases,11/12/2019 13:48,12/3/2019 15:23,1:53,91.7,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,LESSON,19. Complete Factorization,11/14/2019 15:35,12/3/2019 15:36,1:32,93.3,76.3,88.15
PRA | PRA RP3 Lite,35941354,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),2,PROJECT,21. Performance Task,11/4/2019 12:26,11/4/2019 12:49,0:23,75.3,76.3,88.15
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,2. Mathematic System: Set Theory Review,10/30/2019 12:37,11/13/2019 22:29,4:04,73.3,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,3. Mathematic System: Operations with Sets,10/30/2019 13:08,12/3/2019 16:49,2:48,70.6,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,QUIZ,4. Quiz 1: Set Theory,11/4/2019 12:28,11/13/2019 23:40,0:17,90.9,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,6. Geometry Undefined Terms: Point,11/4/2019 12:49,11/15/2019 9:02,0:22,78.3,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,7. Geometry Undefined Terms: Line,10/31/2019 13:21,11/13/2019 23:23,0:36,72,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,8. Geometry Undefined Terms: Plane,11/14/2019 0:02,11/14/2019 0:12,0:10,81.8,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,QUIZ,9. Quiz 2: Undefined Terms,11/14/2019 0:14,11/14/2019 0:23,0:08,81.8,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,11. Defined Terms: Definitions,11/14/2019 0:23,11/23/2019 18:24,1:31,70.6,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,QUIZ,12. Quiz 3: Defined Terms,11/15/2019 11:28,11/24/2019 18:19,1:19,98.8,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,14. Geometric Postulates,11/21/2019 13:21,11/21/2019 13:32,0:11,70,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,15. Review of Algebraic Postulates,11/21/2019 21:53,12/3/2019 13:17,0:55,71.4,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,16. Geometric Theorems,11/24/2019 17:57,11/24/2019 18:10,0:13,85.7,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,LESSON,17. Review of Properties of Algebra,11/24/2019 18:20,11/24/2019 18:37,0:17,84,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,QUIZ,18. Quiz 4: Postulates and Theorems,11/24/2019 19:40,11/24/2019 19:48,0:08,100,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,PROJECT,19. Performance Task,11/12/2019 8:15,11/21/2019 13:36,0:37,70.2,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),1,TEST,22. Test,12/2/2019 13:34,12/3/2019 13:14,0:21,70.6,76.5,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,1. Logic,12/2/2019 18:45,12/2/2019 18:53,0:07,78.6,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,2. Conjunctions,12/2/2019 18:54,12/2/2019 19:00,0:06,71.4,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,3. Disjunctions,12/2/2019 14:01,12/4/2019 20:14,0:50,87.5,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,4. Negation,12/2/2019 19:01,12/2/2019 19:07,0:06,74.5,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,5. Conditional or Implication Statements,12/2/2019 19:12,12/4/2019 20:07,0:46,100,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,"6. Converse, Inverse, Contrapositive",12/4/2019 20:14,12/4/2019 20:23,0:09,84.8,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,QUIZ,7. Quiz 1: Principles of Logic,12/4/2019 20:27,12/12/2019 18:14,0:14,100,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,9. Counterexamples,12/5/2019 13:31,12/9/2019 19:43,1:26,89.6,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,10. Inductive Reasoning,12/9/2019 20:02,12/10/2019 18:42,0:37,79.3,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,11. Deductive Reasoning,12/10/2019 18:54,12/10/2019 19:38,0:44,80.8,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,12. Using Deductive Reasoning,12/10/2019 19:40,2/9/2020 12:11,1:17,77.8,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,15. Proof Formats: Statement of the Theorem,12/10/2019 19:43,1/16/2020 18:26,0:56,72.7,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,16. Proof Formats: The Figure,1/8/2020 17:41,1/16/2020 18:28,0:07,71.4,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,17. Proof Formats: The Given Statement,1/16/2020 18:28,2/9/2020 12:19,0:11,81.3,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,18. Proof Formats: To Prove Statement,1/16/2020 18:33,1/24/2020 14:30,0:15,71.4,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,19. Proof Formats: The Plan of the Proof,1/16/2020 18:40,1/17/2020 21:46,0:37,78.1,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,LESSON,20. Indirect Proof Format: The Paragraph Proof,1/16/2020 18:41,1/17/2020 21:29,0:06,73.3,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,QUIZ,21. Quiz 3: Proof Formats,1/17/2020 21:10,1/17/2020 21:13,0:02,83.3,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),2,PROJECT,22. Performance Task,12/4/2019 20:43,12/4/2019 20:49,0:06,94.3,91.4,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),3,LESSON,1. Angle Definitions,1/16/2020 18:42,1/17/2020 22:55,0:09,75,83.6,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),3,LESSON,2. Angle Measurement,1/17/2020 22:56,1/21/2020 10:30,0:37,89.1,83.6,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),3,LESSON,5. Geometric Proof,1/21/2020 18:04,2/28/2020 12:42,1:28,70,83.6,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),3,LESSON,6. Angle Relationship Definitions,1/23/2020 6:30,2/9/2020 12:33,0:14,100,83.6,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),3,LESSON,7. Angle Relationship Theorems (1),1/18/2020 22:52,2/9/2020 12:59,1:17,87.6,83.6,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),3,QUIZ,9. Quiz 2: Angle Theorems,1/17/2020 21:30,1/17/2020 21:39,0:09,82.3,83.6,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),3,LESSON,13. Basic Properties of Parallels,1/24/2020 13:57,1/24/2020 14:04,0:08,100,83.6,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),4,LESSON,12. Isosceles Triangles (1),2/9/2020 12:34,2/9/2020 12:47,0:12,82.7,83.9,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),4,QUIZ,15. Quiz 2: Types of Triangles,4/8/2020 20:01,4/8/2020 20:11,0:10,72.2,83.9,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),4,LESSON,20. Quadrilateral Parallelograms Theorems Part 1,1/23/2020 12:11,4/8/2020 19:59,0:23,79.3,83.9,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),4,LESSON,25. Parallelograms: Rectangles,4/8/2020 19:34,4/8/2020 19:36,0:02,100,83.9,83.85
PRA | PRA APP,35918127,Espadas,Mr.,MA G01A Geometry 1A SY19-20 (2016),4,QUIZ,28. Quiz 4: Parallelograms; Trapezoids,1/17/2020 19:58,1/17/2020 20:10,0:12,92.9,83.9,83.85
PRA | PRA APP,35918622,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),1,TEST,1. Pre-Test,8/12/2019 7:21,8/12/2019 7:22,0:00,100,100,100
PRA | PRA APP,35918622,Espadas,Mr.,MA A01B Algebra 1B SY19-20 (2016) (CRx),1,LESSON,2. Crx Enabler Pool Alg 1,8/12/2019 7:22,8/12/2019 7:22,0:00,100,100,100
PRA | PRA APP,26150680,Espadas,Mr.,MA AF2A Algebra 2 Fundamentals 2A SY19-20 (2016) (CRx),1,TEST,1. Pre-Test,9/10/2019 15:28,10/11/2019 13:32,0:26,79.7,79.7,80.33
PRA | PRA APP,26150680,Espadas,Mr.,MA AF2A Algebra 2 Fundamentals 2A SY19-20 (2016) (CRx),2,TEST,1. Pre-Test,10/14/2019 13:28,10/14/2019 13:44,0:16,77.5,77.5,80.33
PRA | PRA APP,26150680,Espadas,Mr.,MA AF2A Algebra 2 Fundamentals 2A SY19-20 (2016) (CRx),3,LESSON,3. Line Graphs by Two Points,10/14/2019 15:13,10/14/2019 15:21,0:08,80,83.8,80.33
PRA | PRA APP,26150680,Espadas,Mr.,MA AF2A Algebra 2 Fundamentals 2A SY19-20 (2016) (CRx),3,LESSON,4. Slope of Lines Part 1,10/14/2019 15:22,10/14/2019 15:31,0:09,87.5,83.8,80.33
PRA | PRA APP,27368145,Espadas,Mr.,MA A01D Coordinate Algebra 1D SY19-20 (2016) (CRx),1,TEST,1. Pre-Test,1/7/2020 10:56,1/7/2020 10:56,0:00,100,100,100
PRA | PRA APP,27368145,Espadas,Mr.,MA A01D Coordinate Algebra 1D SY19-20 (2016) (CRx),1,LESSON,2. Algebra 1 AzMerit Lesson Pool,1/15/2020 11:01,2/3/2020 9:03,0:25,100,100,100
PRA | PRA APP,27368145,Espadas,Mr.,MA A01D Coordinate Algebra 1D SY19-20 (2016) (CRx),1,LESSON,3. Crx Enabler Pool Alg 1,2/3/2020 9:03,2/3/2020 9:03,0:00,100,100,100
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,LESSON,8. Structure: Applications,8/15/2019 8:56,8/15/2019 10:06,1:10,78.6,91.1,87.1
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,LESSON,10. Relations and Functions: Domain and Range,8/15/2019 10:06,8/25/2019 12:42,4:08,85,91.1,87.1
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,LESSON,11. Relations and Functions: Function Transformations,8/19/2019 11:29,8/25/2019 13:12,1:28,90.9,91.1,87.1
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,LESSON,12. Relations and Functions: Function Notation,8/21/2019 14:52,8/25/2019 13:52,1:58,100,91.1,87.1
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,LESSON,13. Relations and Functions: Operations,8/25/2019 13:53,8/25/2019 14:25,0:30,90,91.1,87.1
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,QUIZ,15. Quiz 2: Relations and Functions,8/25/2019 14:27,8/25/2019 15:25,0:58,81.3,91.1,87.1
